created_at,source,original_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,place
Fri Jun 18 19:12:31 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @shawajason: Liars. You tried to load off your expired vaccines. Just another war crime by Israel. https://t.co/TI0vK8DQLw,-1,0.0,0.0,en,141,94,Gurihirufan7,19,85,,,IsraelMFA,"White House, TN"
Fri Jun 18 19:12:52 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",It is precisely because people HAVE done their research that these findings are coming to light. They’ve been censo… https://t.co/63lc5bP8CU,-1,0.0,0.0,en,0,0,Rainbowandsteel,3473,387,,,SKyriakidesEU,
Fri Jun 18 19:12:52 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @benphillips76: Governments, the World Health Organisation and NGOs around the world asked Pfizer to ensure that science will win, by le…",1,0.7,0.7,en,105,68,LHumeSastre,208,376,,,globalhlthtwit,
Fri Jun 18 19:12:54 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @GENbio: New COVID-19 Vaccines May Reach Out to T Cells, Not Just B Cells

#COVID19 vaccine developers could exploit newly discovered #S…",1,0.25757575757575757,0.4696969696969697,en,7,5,angryhacademic,1618,3286,,COVID19,CDCgov,my mind
Fri Jun 18 19:13:03 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",@POTUS That’s great but we need to do more! Vaccines alone won’t stop the spread of #Covid19! We need a multi-prong… https://t.co/4tJEPWCtxt,-1,0.0,0.0,en,0,0,LongCovidNYC,366,696,,Covid19,dianeasmith1,
Fri Jun 18 19:13:13 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @PrakashLab: What we saw unfolding in india has now begun ravaging Uganda. And this will continue until vaccines are equitably available…,1,0.1875,0.23750000000000002,en,88,38,lekshmidhar,88,363,,,UNTHSC,"Basel, Switzerland"
Fri Jun 18 19:13:15 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @shawajason: Liars. You tried to load off your expired vaccines. Just another war crime by Israel. https://t.co/TI0vK8DQLw,-1,0.0,0.0,en,141,96,the5hine,425,176,,,TarrantCountyTX, 
Fri Jun 18 19:13:23 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @OfwonoOpondo: Which African country especially sub-Saharan has received adequate doses of #COVID19 vaccines? Have you bothered to estab…,1,0.12666666666666665,0.5066666666666666,en,12,2,JobMatua,1221,731,,COVID19,FortWorthISD,Uganda Africa(East Africa)
Fri Jun 18 19:13:25 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @itranslate123: @AIPAC Will aipac tell the world that Israel has SOLD EXPIRED vaccines to Palestinians, which could have been disastrous…",0,-0.125,0.725,en,25,27,nvfqsh,38,263,,,giorgiogilestro, Malaysia
Fri Jun 18 19:13:35 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I encourage you to learn about COVID19 vaccines and address the fears and questions you have with this life saving tool. #VacunateYa,-1,0.0,0.0,en,0,0,bonill07,1425,1819,,VacunateYa,shawajason,United States
Fri Jun 18 19:13:35 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @DrEricDing: 11) But is it just a SinoVac issue though? Unclear, in a Calgary 🇨🇦 hospital, or the 6 #DeltaVariant infected healthcare wo…",-1,0.0,0.6,en,100,58,fermin771009,1958,4736,,DeltaVariant,benphillips76,"Guadalajara, Mexico"
